CODE,8B_BYTE,H_A,A_H,RD_M(a_j),RD_P(a_j),RD_M_HEX,RD_P_HEX
D0_0,00,00000000,00000000,1001110100,0110001011,274,18B
D1_0,01,00000001,10000000,0111010100,1000101011,1D4,22B
D2_0,02,00000010,01000000,1011010100,0100101011,2D4,12B
D3_0,03,00000011,11000000,1100011011,1100010100,31B,314
D4_0,04,00000100,00100000,1101010100,0010101011,354,AB
D5_0,05,00000101,10100000,1010011011,1010010100,29B,294
D6_0,06,00000110,01100000,0110011011,0110010100,19B,194
D7_0,07,00000111,11100000,1110001011,0001110100,38B,74
D8_0,08,00001000,00010000,1110010100,0001101011,394,6B
D9_0,09,00001001,10010000,1001011011,1001010100,25B,254
D10_0,0A,00001010,01010000,0101011011,0101010100,15B,154
D11_0,0B,00001011,11010000,1101001011,1101000100,34B,344
D12_0,0C,00001100,00110000,0011011011,0011010100,DB,D4
D13_0,0D,00001101,10110000,1011001011,1011000100,2CB,2C4
D14_0,0E,00001110,01110000,0111001011,0111000100,1CB,1C4
D15_0,0F,00001111,11110000,0101110100,1010001011,174,28B
D16_0,10,00010000,00001000,0110110100,1001001011,1B4,24B
D17_0,11,00010001,10001000,1000111011,1000110100,23B,234
D18_0,12,00010010,01001000,0100111011,0100110100,13B,134
D19_0,13,00010011,11001000,1100101011,1100100100,32B,324
D20_0,14,00010100,00101000,0010111011,0010110100,BB,B4
D21_0,15,00010101,10101000,1010101011,1010100100,2AB,2A4
D22_0,16,00010110,01101000,0110101011,0110100100,1AB,1A4
D23_0,17,00010111,11101000,1110100100,0001011011,3A4,5B
D24_0,18,00011000,00011000,1100110100,0011001011,334,CB
D25_0,19,00011001,10011000,1001101011,1001100100,26B,264
D26_0,1A,00011010,01011000,0101101011,0101100100,16B,164
D27_0,1B,00011011,11011000,1101100100,0010011011,364,9B
D28_0,1C,00011100,00111000,0011101011,0011100100,EB,E4
D29_0,1D,00011101,10111000,1011100100,0100011011,2E4,11B
D30_0,1E,00011110,01111000,0111100100,1000011011,1E4,21B
D31_0,1F,00011111,11111000,1010110100,0101001011,2B4,14B
D0_1,20,00100000,00000100,1001111001,0110001001,279,189
D1_1,21,00100001,10000100,0111011001,1000101001,1D9,229
D2_1,22,00100010,01000100,1011011001,0100101001,2D9,129
D3_1,23,00100011,11000100,1100011001,1100011001,319,319
D4_1,24,00100100,00100100,1101011001,0010101001,359,A9
D5_1,25,00100101,10100100,1010011001,1010011001,299,299
D6_1,26,00100110,01100100,0110011001,0110011001,199,199
D7_1,27,00100111,11100100,1110001001,0001111001,389,79
D8_1,28,00101000,00010100,1110011001,0001101001,399,69
D9_1,29,00101001,10010100,1001011001,1001011001,259,259
D10_1,2A,00101010,01010100,0101011001,0101011001,159,159
D11_1,2B,00101011,11010100,1101001001,1101001001,349,349
D12_1,2C,00101100,00110100,0011011001,0011011001,D9,D9
D13_1,2D,00101101,10110100,1011001001,1011001001,2C9,2C9
D14_1,2E,00101110,01110100,0111001001,0111001001,1C9,1C9
D15_1,2F,00101111,11110100,0101111001,1010001001,179,289
D16_1,30,00110000,00001100,0110111001,1001001001,1B9,249
D17_1,31,00110001,10001100,1000111001,1000111001,239,239
D18_1,32,00110010,01001100,0100111001,0100111001,139,139
D19_1,33,00110011,11001100,1100101001,1100101001,329,329
